Id,repo,issue_id,type,actor,event,created_at,link_url,link_type,link_repo,link_issue_id
6530,request/request,644,0,,cross-referenced,2014-10-09 10:40:11,https://api.github.com/repos/request/request/issues/1137,1,request/request,1137
6527,request/request,648,1,,cross-referenced,2013-10-10 21:08:12,https://api.github.com/repos/request/request/issues/680,1,request/request,680
6526,request/request,650,1,,cross-referenced,2013-09-23 23:28:59,https://api.github.com/repos/request/request/issues/651,1,request/request,651
6525,request/request,658,0,,cross-referenced,2014-02-07 16:38:00,https://api.github.com/repos/request/request/issues/805,0,request/request,805
6520,request/request,660,1,,cross-referenced,2014-03-25 18:31:22,https://api.github.com/repos/request/request/issues/234,0,request/request,234
6521,request/request,660,1,,cross-referenced,2014-07-01 02:07:06,https://api.github.com/repos/request/request/issues/951,1,request/request,951
6522,request/request,660,1,,cross-referenced,2015-06-08 21:39:16,https://api.github.com/repos/request/request/issues/1402,0,request/request,1402
6519,request/request,663,0,,cross-referenced,2013-10-03 20:04:17,https://api.github.com/repos/request/request/issues/673,0,request/request,673
6518,request/request,665,1,,cross-referenced,2013-09-21 21:47:46,https://api.github.com/repos/request/request/issues/666,1,request/request,666
6516,request/request,666,1,,cross-referenced,2014-02-22 03:37:45,https://api.github.com/repos/request/request/issues/821,1,request/request,821
6517,request/request,666,1,,cross-referenced,2014-05-20 19:35:04,https://api.github.com/repos/request/request/issues/907,1,request/request,907
6514,request/request,669,1,,cross-referenced,2013-09-30 02:17:19,https://api.github.com/repos/request/request/issues/672,1,request/request,672
6515,request/request,669,1,,cross-referenced,2014-03-03 16:01:51,https://api.github.com/repos/request/request/issues/830,1,request/request,830
6512,request/request,670,0,,cross-referenced,2013-09-29 03:02:26,https://api.github.com/repos/request/request/issues/669,1,request/request,669
6513,request/request,670,0,,cross-referenced,2013-09-30 02:17:19,https://api.github.com/repos/request/request/issues/672,1,request/request,672
6510,request/request,672,1,,cross-referenced,2013-10-03 12:46:01,https://api.github.com/repos/request/request/issues/674,1,request/request,674
6511,request/request,672,1,,cross-referenced,2014-04-07 20:30:05,https://api.github.com/repos/request/request/issues/855,0,request/request,855
6504,request/request,673,0,,cross-referenced,2014-04-15 03:12:39,https://api.github.com/repos/request/request/issues/865,0,request/request,865
6509,request/request,673,0,,cross-referenced,2016-01-22 00:52:09,https://api.github.com/repos/request/request/issues/2028,1,request/request,2028
6500,request/request,674,1,,cross-referenced,2014-02-05 08:20:52,https://api.github.com/repos/request/request/issues/670,0,request/request,670
6499,request/request,676,0,,cross-referenced,2014-08-05 04:36:21,https://api.github.com/repos/request/request/issues/990,1,request/request,990
6498,request/request,678,0,,cross-referenced,2013-12-17 09:33:04,https://api.github.com/repos/request/request/issues/736,1,request/request,736
6497,request/request,679,0,,cross-referenced,2014-08-21 12:45:39,https://api.github.com/repos/request/request/issues/637,0,request/request,637
6495,request/request,680,1,,cross-referenced,2013-10-12 02:33:23,https://api.github.com/repos/request/request/issues/679,0,request/request,679
6493,request/request,681,0,,cross-referenced,2013-10-24 20:42:35,https://api.github.com/repos/request/request/issues/690,1,request/request,690
6492,request/request,688,0,,cross-referenced,2014-08-21 14:29:26,https://api.github.com/repos/request/request/issues/1013,0,request/request,1013
6491,request/request,695,1,,cross-referenced,2014-09-01 14:20:23,https://api.github.com/repos/request/request/issues/1042,1,request/request,1042
6487,request/request,699,0,,cross-referenced,2014-02-07 21:11:40,https://api.github.com/repos/request/request/issues/803,0,request/request,803
6488,request/request,699,0,,cross-referenced,2014-09-23 13:51:53,https://api.github.com/repos/request/request/issues/697,0,request/request,697
